,index,country,points,price,variety
0,2,US,96,90.0,Sauvignon Blanc
1,3,US,96,65.0,Pinot Noir
2,8,US,95,65.0,Pinot Noir
3,9,US,95,60.0,Pinot Noir
4,11,US,95,48.0,Pinot Noir
5,12,US,95,48.0,Pinot Noir
6,15,US,95,90.0,Chardonnay
7,17,Spain,95,80.0,Tempranillo
8,19,US,95,75.0,Pinot Noir
9,20,US,95,24.0,Rosé
10,23,US,95,60.0,Chardonnay
11,24,US,95,45.0,Pinot Noir
12,25,New Zealand,94,57.0,Chardonnay
13,26,US,94,62.0,Pinot Noir
14,28,US,94,60.0,Pinot Noir
15,29,US,94,60.0,Syrah
16,31,US,90,37.0,Chardonnay
17,33,France,90,22.0,Sparkling Blend
18,34,US,90,42.0,Chardonnay
19,37,Italy,90,29.0,Sangiovese
20,38,Italy,90,23.0,Sangiovese
21,39,Italy,90,29.0,Red Blend
22,43,Italy,90,39.0,Red Blend
23,44,France,90,69.0,Syrah
24,45,Italy,90,30.0,Red Blend
25,46,Italy,90,90.0,Sangiovese
26,47,US,90,60.0,Cabernet Sauvignon
27,48,Italy,90,50.0,Sangiovese
28,49,US,90,40.0,Cabernet Sauvignon
29,50,Italy,90,100.0,Sangiovese
30,51,France,90,68.0,Chardonnay
31,52,France,90,42.0,Sauvignon Blanc
32,53,France,90,28.0,Pinot Noir
33,54,US,90,18.0,Chardonnay
34,55,US,90,69.0,Cabernet Sauvignon
35,57,US,90,25.0,Riesling
36,59,Italy,90,60.0,Red Blend
37,60,Argentina,91,30.0,Malbec
38,61,Australia,91,36.0,Pinot Noir
39,62,Argentina,91,25.0,Malbec
40,63,France,91,45.0,Chardonnay
41,64,Portugal,91,23.0,Portuguese Red
42,65,US,91,36.0,Syrah
43,66,France,91,38.0,Chardonnay
44,67,US,91,85.0,Cabernet Sauvignon
45,68,US,91,50.0,Pinot Noir
46,69,US,91,60.0,Cabernet Sauvignon
47,70,US,91,85.0,Cabernet Sauvignon
48,71,US,91,45.0,Pinot Noir
49,74,Portugal,91,15.0,Portuguese Red
50,75,US,91,54.0,Pinot Noir
51,76,France,91,85.0,Chardonnay
52,77,US,91,38.0,Sauvignon Blanc
53,78,US,91,28.0,Cabernet Sauvignon
54,79,Italy,91,75.0,Nebbiolo
55,80,US,91,42.0,Pinot Noir
56,83,Italy,91,59.0,Nebbiolo
57,84,Italy,91,85.0,Nebbiolo
58,85,Italy,91,80.0,Nebbiolo
59,86,France,91,45.0,Chardonnay
60,87,US,91,22.0,Cabernet Sauvignon
61,88,US,91,65.0,Pinot Noir
62,90,US,86,10.0,Cabernet Sauvignon
63,93,US,86,13.0,Chardonnay
64,94,Portugal,86,10.0,Portuguese Red
65,96,US,86,18.0,Chardonnay
66,97,US,86,36.0,Cabernet Sauvignon
67,101,US,86,50.0,Cabernet Sauvignon
